time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1995-12-10T15:32:20.530Z,28.813,34.778,10,4.3,mb,,,,1.1,us,usp00078rb,2014-11-07T00:59:25.007Z,"28 km SSE of Nuwaybi‘a, Egypt",earthquake,,,,2,reviewed,us,us
1995-12-10T00:31:16.760Z,28.788,35.499,10,4.3,ml,,,,1.4,us,usp00078q5,2014-11-07T00:59:24.631Z,"85 km SE of Tala Bay, Jordan",earthquake,,,,,reviewed,us,jer
1995-12-08T04:12:38.940Z,28.919,34.651,10,4.4,mb,,,,1.3,us,usp00078jy,2014-11-07T00:59:24.047Z,"14 km S of Nuwaybi‘a, Egypt",earthquake,,,,17,reviewed,us,us
1995-12-06T17:57:54.730Z,28.862,34.679,10,4,mb,,,,1.3,us,usp00078es,2014-11-07T00:59:23.231Z,"20 km S of Nuwaybi‘a, Egypt",earthquake,,,,10,reviewed,us,us
1995-12-06T09:47:27.740Z,29.114,35.167,10,4.7,md,,,,1.3,us,usp00078dx,2014-11-07T00:59:23.128Z,"37 km SSE of Tala Bay, Jordan",earthquake,,,,,reviewed,us,ryd
1995-12-06T02:57:24.300Z,29.13,34.752,10,4.3,md,,,,0.7,us,usp00078d2,2014-11-07T00:59:23.057Z,"12 km NE of Nuwaybi‘a, Egypt",earthquake,,,,,reviewed,us,ryd
1995-12-05T13:17:54.310Z,29.227,35.348,10,4.3,md,,,,0.8,us,usp00078am,2014-11-07T00:59:22.660Z,"41 km ESE of Tala Bay, Jordan",earthquake,,,,,reviewed,us,ryd
1995-12-04T17:56:42.680Z,29.188,34.79,10,4.3,md,,,,0.9,us,usp000788c,2014-11-07T00:59:21.834Z,"19 km NE of Nuwaybi‘a, Egypt",earthquake,,,,,reviewed,us,ryd
1995-12-04T12:39:50.080Z,28.991,34.831,10,4.1,ml,,,,0.6,us,usp000787t,2014-11-07T00:59:21.779Z,"17 km ESE of Nuwaybi‘a, Egypt",earthquake,,,,,reviewed,us,jer
1995-12-04T07:34:15.860Z,28.836,34.944,10,4.7,ml,,,,0.9,us,usp000787b,2014-11-07T00:59:21.739Z,"35 km SE of Nuwaybi‘a, Egypt",earthquake,,,,,reviewed,us,jer
1995-12-04T02:45:27.930Z,28.713,35.222,10,4.2,md,,,,0.7,us,usp000786x,2014-11-07T00:59:21.677Z,"65 km SE of Nuwaybi‘a, Egypt",earthquake,,,,,reviewed,us,ryd
1995-12-03T07:54:56.950Z,28.754,35.295,10,4.2,md,,,,0.8,us,usp0007811,2014-11-07T00:59:20.193Z,"69 km ESE of Nuwaybi‘a, Egypt",earthquake,,,,,reviewed,us,ryd
1995-12-02T07:55:39.550Z,28.801,35.162,10,4.4,mb,,,,0.6,us,usp00077ya,2014-11-07T00:59:18.831Z,"55 km ESE of Nuwaybi‘a, Egypt",earthquake,,,,1,reviewed,us,us
