latitude,longitude,depth,mag,magType,(Mw),nst,gap,dmin,rms,place,magNst,month,day,year,hour,minute,second,Exact_Date,mag2
29.711,31.006,26.3,4.5,mb,4.55585,,,,1.3,"12 km SSW of Mad?nat Sittah Ukt?bar, Egypt",46,11,5,1992,18,41,49.77,1992.849386,
28.835,33.166,22.9,4,mb,3.9512,,,,0.6,"53 km N of Ras Gharib, Egypt",1,10,27,1992,11,2,48.23,1992.826279,
29.755,31.535,10,4.5,mb,4.55585,,,,0.8,"24 km ESE of ?alw?n, Egypt",4,10,22,1992,17,39,0.6,1992.813154,
28.443,33.158,10,3.9,mb,3.83027,,,,1.1,"12 km NE of Ras Gharib, Egypt",2,10,20,1992,1,57,58.42,1992.805783,
29.728,31.184,10,3.7,mb,3.58841,,,,1.1,13 km NNW of Al ï¿½ï¿½ï¿½ï¿½ï¿½,1,10,14,1992,9,40,24.99,1992.790009,
29.72,31.096,10,4.1,mb,4.07213,,,,1,"11 km SSE of Mad?nat Sittah Ukt?bar, Egypt",1,10,12,1992,15,25,20.97,1992.785118,
28.286,33.8,10,3.6,mb,3.46748,,,,0.5,"18 km ENE of El-Tor, Egypt",1,9,26,1992,1,9,57.23,1992.739024,
27.423,33.97,10,3.9,mb,3.83027,,,,0.9,"24 km NE of Hurghada, Egypt",4,9,25,1992,22,20,17.02,1992.738697,
27.388,34.081,10,4,mb,3.9512,,,,1,"30 km ENE of Hurghada, Egypt",2,9,25,1992,22,2,54.62,1992.738663,
27.347,34.584,10,3.9,mb,3.83027,,,,1.2,"67 km SSE of Sharm el-Sheikh, Egypt",2,9,3,1992,17,9,20.4,1992.676986,
30.165,32.036,10,4.5,mb,4.55585,,,,1.2,"48 km SSE of At Tall al Kab?r, Egypt",22,5,22,1992,23,10,43.79,1992.397127,
27.161,35.125,10,4.6,mb,4.67678,,,,1.2,"59 km WSW of Duba, Saudi Arabia",25,9,13,1990,22,10,7.15,1990.705344,
28.424,33.333,10,4.4,mb,4.43492,,,,1.3,"26 km ENE of Ras Gharib, Egypt",3,12,18,1989,21,48,10.31,1989.96919,
33.133,31.46,33,4.3,mb,4.31399,,,,1.1,183 km NNW of ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿,4,11,12,1989,10,31,59.35,1989.867886,
26.897,34.917,10,4.4,mb,4.43492,,,,0.9,"91 km WSW of Duba, Saudi Arabia",3,4,4,1989,11,32,11.84,1989.262446,
33.18,27.907,54.2,3.9,mb,3.83027,,,,1,"212 km NNE of Mersa Matruh, Egypt",2,1,27,1989,14,28,11.14,1989.076675,
32.242,27.904,10,4.8,mb,4.91864,,,,1.3,"117 km NNE of Mersa Matruh, Egypt",49,6,9,1988,2,18,23.29,1988.441934,
